"財政部電子發票整合服務平台 消費明細下載"
表頭=M,發票日期,商店統編,商店店名,發票號碼,總金額
表身=D,發票號碼,小計,品名

M,2024/01/01 07:46,89398402,7-ELEVEN,NW41918708,228
D,NW41918708,228,國民便當
M,2024/01/01 19:01,11768704,摩斯漢堡,TP33304363,81
D,TP33304363,41,牛肉麵
D,TP33304363,40,定食 鮭魚
M,2024/01/03 10:22,89398402,7-ELEVEN,XV13739214,155
D,XV13739214,58,關東煮 白蘿蔔
D,XV13739214,97,拿鐵 大杯
M,2024/01/04 05:13,89398402,7-ELEVEN,MS38665549,91
D,MS38665549,91,義美小泡芙
M,2024/01/04 11:59,89398402,7-ELEVEN,PN94887921,83
D,PN94887921,52,御飯糰 鮪魚
D,PN94887921,31,義美小泡芙
M,2024/01/04 13:03,53049403,台灣高鐵,PK93715888,1248
D,PK93715888,598,車資
D,PK93715888,650,車資
M,2024/01/05 07:39,22555003,全家便利商店,FS75864481,128
D,FS75864481,59,御飯糰 鮪魚
D,FS75864481,69,義美小泡芙
M,2024/01/07 08:38,12801119,三商巧福,VV46085651,193
D,VV46085651,101,蔬菜蛋餅
D,VV46085651,92,牛肉麵
M,2024/01/07 13:58,54381287,生活市集,WL88363087,308
D,WL88363087,111,書籍 一本
D,WL88363087,197,運動鞋
M,2024/01/07 17:11,16729745,悠遊卡自動加值,YD10544195,466
D,YD10544195,466,柴油 40公升
M,2024/01/08 18:08,96979933,全聯福利中心,HM25328666,831
D,HM25328666,479,沙拉油 2L
D,HM25328666,352,罐頭鮪魚
M,2024/01/09 08:19,03731301,台灣鐵路管理局,SD76162870,472
D,SD76162870,188,洗車 精緻
D,SD76162870,284,自強號 台北到花蓮
M,2024/01/09 16:04,28486815,台灣大車隊,HB86406625,323
D,HB86406625,150,洗車 精緻
D,HB86406625,173,95無鉛汽油 25公升
M,2024/01/10 10:35,24707801,蝦皮購物,RX31175649,739
D,RX31175649,739,USB-C 傳輸線
M,2024/01/10 13:12,22555003,全家便利商店,XM01930289,25
D,XM01930289,10,中杯美式
D,XM01930289,15,御握 鮭魚
M,2024/01/10 18:17,89398402,7-ELEVEN,HX72100699,50
D,HX72100699,32,冰美式 中杯
D,HX72100699,18,義美小泡芙
M,2024/01/10 18:44,96979933,全聯福利中心,WM12331502,614
D,WM12331502,614,豬絞肉
