"財政部電子發票整合服務平台 消費明細下載"
表頭=M,發票日期,商店統編,商店店名,發票號碼,總金額
表身=D,發票號碼,小計,品名

M,2025/01/01 17:10,20004110,裕毛屋,EZ18798350,867
D,EZ18798350,867,塑膠衣架 十入
M,2025/01/01 19:21,89398402,7-ELEVEN,YJ87559376,38
D,YJ87559376,38,關東煮 綜合
M,2025/01/01 21:27,22555003,全家便利商店,JK28583143,63
D,JK28583143,63,御握 鮭魚
M,2025/01/03 10:12,20005206,國光客運,WY76692124,340
D,WY76692124,340,車資
M,2025/01/03 15:22,97162640,家樂福,CE49395401,1011
D,CE49395401,522,林鳳營鮮乳
D,CE49395401,489,林鳳營鮮乳
M,2025/01/04 10:08,16606106,PChome線上購物,NX85127391,1093
D,NX85127391,510,無線滑鼠
D,NX85127391,583,運動鞋
M,2025/01/04 13:58,84149961,星巴克,HB65666418,270
D,HB65666418,155,牛肉麵
D,HB65666418,115,炸雞三塊
M,2025/01/05 06:22,54313580,拉亞漢堡,YY65710327,140
D,YY65710327,60,鍋貼 十個
D,YY65710327,80,蔬菜蛋餅
M,2025/01/07 06:17,22555003,全家便利商店,MQ39107750,117
D,MQ39107750,117,御飯糰 鮪魚
M,2025/01/07 07:42,28486815,台灣大車隊,CZ00310951,159
D,CZ00310951,159,柴油 40公升
M,2025/01/08 08:42,23091152,鬍鬚張,XJ73633362,152
D,XJ73633362,76,薯條 中
D,XJ73633362,76,雞腿便當
M,2025/01/08 15:55,22555003,全家便利商店,VS88648588,32
D,VS88648588,15,大熱狗
D,VS88648588,17,義美小泡芙
M,2025/01/09 08:31,03707901,台灣中油,RA59486988,1361
D,RA59486988,261,柴油 40公升
D,RA59486988,308,車資
D,RA59486988,438,台北到台中 標準車廂
D,RA59486988,354,柴油 40公升
M,2025/01/09 08:52,84149961,星巴克,ZN55091316,170
D,ZN55091316,108,炸雞三塊
D,ZN55091316,62,紅茶 大
M,2025/01/09 19:23,54381286,路易莎咖啡,BK15612246,73
D,BK15612246,73,鍋貼 十個
M,2025/01/09 21:04,89398402,7-ELEVEN,PC53426742,40
D,PC53426742,40,御便當 雞腿
M,2025/01/10 07:39,22555003,全家便利商店,MU62840067,103
D,MU62840067,38,舒潔面紙
D,MU62840067,65,涼麵
M,2025/01/10 08:44,16729745,悠遊卡自動加值,JK43042562,495
D,JK43042562,495,台北到台中 標準車廂
M,2025/01/10 09:25,89398402,7-ELEVEN,XH25412878,33
D,XH25412878,14,起司熱狗堡
D,XH25412878,19,涼麵
M,2025/01/10 13:38,22555003,全家便利商店,VR29947326,70
D,VR29947326,32,大熱狗
D,VR29947326,38,涼麵
M,2025/01/11 07:50,54381286,路易莎咖啡,KZ08853850,148
D,KZ08853850,74,手沖耶加雪菲
D,KZ08853850,74,大杯拿鐵
M,2025/01/11 20:51,86517048,萊爾富便利商店,PQ40311424,70
D,PQ40311424,70,涼麵
M,2025/01/12 16:57,80328164,誠品線上,DH44833501,681
D,DH44833501,336,文具組
D,DH44833501,345,文具組
M,2025/01/13 18:40,89398402,7-ELEVEN,ZB89308372,145
D,ZB89308372,145,關東煮 白蘿蔔
M,2025/01/15 06:21,27746180,光南大批發,TX49380736,236
D,TX49380736,137,收納籃
D,TX49380736,99,掃把組
M,2025/01/15 08:14,22555003,全家便利商店,QZ76999445,66
D,QZ76999445,29,關東煮 白蘿蔔
D,QZ76999445,37,冰美式 中杯
M,2025/01/15 13:02,11117051,頂呱呱,US75338484,456
D,US75338484,456,定食 鮭魚
M,2025/01/16 12:23,53049403,台灣高鐵,BG87058715,1273
D,BG87058715,492,自強號 台北到花蓮
D,BG87058715,310,95無鉛汽油 25公升
D,BG87058715,471,台北到台中 標準車廂
M,2025/01/16 13:35,89398402,7-ELEVEN,GA88279994,59
D,GA88279994,59,冰美式 中杯
M,2025/01/17 11:03,20002055,燦坤3C,WJ17114351,2814
D,WJ17114351,765,無線耳機
D,WJ17114351,761,無線耳機
D,WJ17114351,684,行動電源
D,WJ17114351,604,無線耳機
M,2025/01/17 17:34,89398413,屈臣氏,LL25059936,203
D,LL25059936,203,隱形眼鏡藥水
M,2025/01/18 05:19,89398402,7-ELEVEN,ZX63363021,52
D,ZX63363021,28,茶葉蛋
D,ZX63363021,24,義美小泡芙
M,2025/01/18 11:15,16606105,大潤發,AL16722241,1110
D,AL16722241,537,五月花衛生紙
D,AL16722241,573,罐頭鮪魚
M,2025/01/19 08:12,03707901,台灣中油,BE95102377,1126
D,BE95102377,473,自強號 台北到花蓮
D,BE95102377,343,悠遊卡加值
D,BE95102377,310,柴油 40公升
M,2025/01/19 13:58,86517048,萊爾富便利商店,MY05441142,59
D,MY05441142,59,舒潔面紙
M,2025/01/19 18:03,89398402,7-ELEVEN,BX07970490,43
D,BX07970490,43,御飯糰 鮪魚
M,2025/01/20 10:25,97162640,家樂福,NY85663181,1661
D,NY85663181,934,高麗菜
D,NY85663181,727,罐頭鮪魚
M,2025/01/20 13:38,27746179,清心福全,TJ28173070,92
D,TJ28173070,92,薯條 中
M,2025/01/20 13:54,84149961,星巴克,GG77657322,154
D,GG77657322,154,炸雞三塊
M,2025/01/21 09:47,54173123,寶雅,CJ94053980,550
D,CJ94053980,550,護手霜
M,2025/01/21 18:47,89398402,7-ELEVEN,KJ30398288,172
D,KJ30398288,98,關東煮 綜合
D,KJ30398288,74,無糖豆漿
